Code_commune_INSEE;Nom_commune;Code_postal;Libelle_acheminement;Ligne_5
97409;ST ANDRE;97440;ST ANDRE;CAMBUSTON
97409;ST ANDRE;97440;ST ANDRE;LA CRESSONNIERE
97409;ST ANDRE;97440;ST ANDRE;
97419;STE ROSE;97439;STE ROSE;
97419;STE ROSE;97439;STE ROSE;LE PITON STE ROSE
97418;STE MARIE;97438;STE MARIE;
97418;STE MARIE;97438;STE MARIE;ROLAND GARROS AEROPORT
97418;STE MARIE;97438;STE MARIE;LA GRANDE MONTEE
97418;STE MARIE;97438;STE MARIE;RIVIERE DES PLUIES
97410;ST BENOIT;97437;ST BENOIT;STE ANNE
97413;ST LEU;97436;ST LEU;
97415;ST PAUL;97435;ST PAUL;BERNICA
97415;ST PAUL;97435;ST PAUL;ST GILLES LES HAUTS
97415;ST PAUL;97435;ST PAUL;TAN ROUGE
97415;ST PAUL;97434;ST PAUL;LA SALINE LES BAINS
97415;ST PAUL;97434;ST PAUL;ST GILLES LES BAINS
97421;SALAZIE;97433;SALAZIE;HELL BOURG
97421;SALAZIE;97433;SALAZIE;
97416;ST PIERRE;97432;ST PIERRE;RAVINE DES CABRIS
97406;LA PLAINE DES PALMISTES;97431;LA PLAINE DES PALMISTES;
97422;LE TAMPON;97430;LE TAMPON;TAMPON 14EME KM
97422;LE TAMPON;97430;LE TAMPON;LES TROIS MARES
97422;LE TAMPON;97430;LE TAMPON;PONT D YVES
97422;LE TAMPON;97430;LE TAMPON;
97405;PETITE ILE;97429;PETITE ILE;PITON GOYAVES
97405;PETITE ILE;97429;PETITE ILE;
97404;L ETANG SALE;97427;L ETANG SALE;
97404;L ETANG SALE;97427;L ETANG SALE;L ETANG SALE LES BAINS
97423;LES TROIS BASSINS;97426;LES TROIS BASSINS;
97401;LES AVIRONS;97425;LES AVIRONS;TEVELAVE
97401;LES AVIRONS;97425;LES AVIRONS;
97413;ST LEU;97424;ST LEU;LE PLATE
97413;ST LEU;97424;ST LEU;LE PITON ST LEU
97415;ST PAUL;97423;ST PAUL;LE GUILLAUME
97415;ST PAUL;97422;ST PAUL;LA SALINE
97414;ST LOUIS;97421;ST LOUIS;LA RIVIERE
97414;ST LOUIS;97421;ST LOUIS;LES MAKES
97407;LE PORT;97420;LE PORT;
97407;LE PORT;97420;LE PORT;LE PORT MARINE
97407;LE PORT;97420;LE PORT;LE PORT ZUP
97408;LA POSSESSION;97419;LA POSSESSION;
97408;LA POSSESSION;97419;LA POSSESSION;LA RIVIERE DES GALETS
97408;LA POSSESSION;97419;LA POSSESSION;LE DOS D ANE
97408;LA POSSESSION;97419;LA POSSESSION;STE THERESE
97422;LE TAMPON;97418;LE TAMPON;LA PLAINE DES CAFRES
97422;LE TAMPON;97418;LE TAMPON;TAMPON 17EME KM
97411;ST DENIS;97417;ST DENIS;ST BERNARD
97411;ST DENIS;97417;ST DENIS;LA MONTAGNE
97413;ST LEU;97416;ST LEU;LA CHALOUPE
97403;ENTRE DEUX;97414;ENTRE DEUX;
97424;CILAOS;97413;CILAOS;PALMISTE ROUGE
97424;CILAOS;97413;CILAOS;
97402;BRAS PANON;97412;BRAS PANON;
97402;BRAS PANON;97412;BRAS PANON;RIVIERE DU MAT
97415;ST PAUL;97411;ST PAUL;BOIS DE NEFLES ST PAUL
97416;ST PIERRE;97410;ST PIERRE;GRAND BOIS
97416;ST PIERRE;97410;ST PIERRE;BASSE TERRE
97416;ST PIERRE;97410;ST PIERRE;
97416;ST PIERRE;97410;ST PIERRE;RAVINE BLANCHE
97416;ST PIERRE;97410;ST PIERRE;TERRE SAINTE
97416;ST PIERRE;97410;ST PIERRE;MONT VERT
97411;ST DENIS;97400;ST DENIS;LE BRULE
97411;ST DENIS;97400;ST DENIS;ST DENIS CAMELIAS
97411;ST DENIS;97400;ST DENIS;
97411;ST DENIS;97400;ST DENIS;ST DENIS TADAR
97411;ST DENIS;97400;ST DENIS;BELLE PIERRE
97411;ST DENIS;97400;ST DENIS;ST FRANCOIS
97301;REGINA;97390;REGINA;
97314;OUANARY;97380;OUANARY;
97353;MARIPASOULA;97370;MARIPASOULA;
97306;MANA;97360;MANA;
97313;MONTSINERY TONNEGRANDE;97356;MONTSINERY TONNEGRANDE;
97305;MACOURIA;97355;MACOURIA TONATE;
97309;REMIRE MONTJOLY;97354;REMIRE MONTJOLY;
97301;REGINA;97353;REGINA;KAW
97310;ROURA;97352;ROURA;CACAO
97307;MATOURY;97351;MATOURY;
97303;IRACOUBO;97350;IRACOUBO;
97357;GRAND SANTI;97340;GRAND SANTI;
97356;CAMOPI;97330;CAMOPI;
97311;ST LAURENT DU MARONI;97320;ST LAURENT DU MARONI;
97361;AWALA YALIMAPO;97319;AWALA YALIMAPO;
97306;MANA;97318;MANA;JAVOUHEY
97360;APATOU;97317;APATOU;
97362;PAPAICHTON;97316;POMPIDOU PAPA ICHTON;
97312;SINNAMARY;97315;SINNAMARY;
97352;SAUL;97314;SAUL;
97308;ST GEORGES;97313;ST GEORGES;
97358;ST ELIE;97312;ST ELIE;
97310;ROURA;97311;ROURA;
97304;KOUROU;97310;KOUROU;
97302;CAYENNE;97300;CAYENNE;
97217;LE MARIN;97290;LE MARIN;
97232;LE VAUCLIN;97280;LE VAUCLIN;
97223;ST ESPRIT;97270;ST ESPRIT;
97218;LE MORNE ROUGE;97260;LE MORNE ROUGE;
97208;FONDS ST DENIS;97250;FONDS ST DENIS;
97219;LE PRECHEUR;97250;LE PRECHEUR;
97225;ST PIERRE;97250;ST PIERRE;
97210;LE FRANCOIS;97240;LE FRANCOIS;
97209;FORT DE FRANCE;97234;FORT DE FRANCE;
97229;SCHOELCHER;97233;SCHOELCHER;
97213;LE LAMENTIN;97232;LE LAMENTIN;
97222;LE ROBERT;97231;LE ROBERT;
97222;LE ROBERT;97231;LE ROBERT;ROBERT VERT PRE
97228;STE MARIE;97230;STE MARIE;STE MARIE MORNE DES ESSES
97228;STE MARIE;97230;STE MARIE;
97231;LES TROIS ILETS;97229;LES TROIS ILETS;
97227;STE LUCE;97228;STE LUCE;
97226;STE ANNE;97227;STE ANNE;
97233;LE MORNE VERT;97226;LE MORNE VERT;
97216;LE MARIGOT;97225;LE MARIGOT;
97207;DUCOS;97224;DUCOS;
97206;LE DIAMANT;97223;LE DIAMANT;
97205;CASE PILOTE;97222;CASE PILOTE;
97234;BELLEFONTAINE;97222;BELLEFONTAINE;
97204;LE CARBET;97221;LE CARBET;
97230;LA TRINITE;97220;LA TRINITE;
97203;BASSE POINTE;97218;BASSE POINTE;
97211;GRAND RIVIERE;97218;GRAND RIVIERE;
97215;MACOUBA;97218;MACOUBA;
97202;LES ANSES D ARLET;97217;LES ANSES D ARLET;
97201;L AJOUPA BOUILLON;97216;L AJOUPA BOUILLON;
97221;RIVIERE SALEE;97215;RIVIERE SALEE;RIVIERE SALEE PETIT BOURG
97221;RIVIERE SALEE;97215;RIVIERE SALEE;
97214;LE LORRAIN;97214;LE LORRAIN;
97212;GROS MORNE;97213;GROS MORNE;
97224;ST JOSEPH;97212;ST JOSEPH;
97220;RIVIERE PILOTE;97211;RIVIERE PILOTE;
97209;FORT DE FRANCE;97200;FORT DE FRANCE;
97113;LE GOSIER;97190;LE GOSIER;
97128;STE ANNE;97180;STE ANNE;DOUVILLE
97128;STE ANNE;97180;STE ANNE;
97118;PETIT BOURG;97170;PETIT BOURG;
97117;LE MOULE;97160;LE MOULE;
97801;ST MARTIN;97150;ST MARTIN;
97101;LES ABYMES;97142;LES ABYMES;
97133;VIEUX FORT;97141;VIEUX FORT;
97108;CAPESTERRE DE MARIE GALANTE;97140;CAPESTERRE DE MARIE GALANTE;
97101;LES ABYMES;97139;LES ABYMES;
97131;TERRE DE HAUT;97137;TERRE DE HAUT;
97130;TERRE DE BAS;97136;TERRE DE BAS;
97126;ST LOUIS;97134;ST LOUIS;
97701;ST BARTHELEMY;97133;ST BARTHELEMY;
97119;PETIT CANAL;97131;PETIT CANAL;
97119;PETIT CANAL;97131;PETIT CANAL;LES MANGLES
97107;CAPESTERRE BELLE EAU;97130;CAPESTERRE BELLE EAU;
97107;CAPESTERRE BELLE EAU;97130;CAPESTERRE BELLE EAU;STE MARIE
97107;CAPESTERRE BELLE EAU;97130;CAPESTERRE BELLE EAU;BANANIER
97115;LAMENTIN;97129;LAMENTIN;
97114;GOYAVE;97128;GOYAVE;
97110;LA DESIRADE;97127;LA DESIRADE;
97111;DESHAIES;97126;DESHAIES;
97106;BOUILLANTE;97125;BOUILLANTE;PIGEON
97106;BOUILLANTE;97125;BOUILLANTE;
97104;BAILLIF;97123;BAILLIF;
97103;BAIE MAHAULT;97122;BAIE MAHAULT;
97102;ANSE BERTRAND;97121;ANSE BERTRAND;
97124;ST CLAUDE;97120;ST CLAUDE;
97134;VIEUX HABITANTS;97119;VIEUX HABITANTS;
97125;ST FRANCOIS;97118;ST FRANCOIS;
97122;PORT LOUIS;97117;PORT LOUIS;
97121;POINTE NOIRE;97116;POINTE NOIRE;
97129;STE ROSE;97115;STE ROSE;
97132;TROIS RIVIERES;97114;TROIS RIVIERES;
97109;GOURBEYRE;97113;GOURBEYRE;
97112;GRAND BOURG;97112;GRAND BOURG;
97116;MORNE A L EAU;97111;MORNE A L EAU;
97120;POINTE A PITRE;97110;POINTE A PITRE;
97105;BASSE TERRE;97100;BASSE TERRE;
95210;ENGHIEN LES BAINS;95880;ENGHIEN LES BAINS;
95063;BEZONS;95870;BEZONS;
95316;JAGNY SOUS BOIS;95850;JAGNY SOUS BOIS;
95365;MAREIL EN FRANCE;95850;MAREIL EN FRANCE;
95061;BETHEMONT LA FORET;95840;BETHEMONT LA FORET;
95678;VILLIERS ADAM;95840;VILLIERS ADAM;
95177;CORMEILLES EN VEXIN;95830;CORMEILLES EN VEXIN;
95254;FREMECOURT;95830;FREMECOURT;
95116;BRUYERES SUR OISE;95820;BRUYERES SUR OISE;
95023;ARRONVILLE;95810;ARRONVILLE;
95059;BERVILLE;95810;BERVILLE;
95213;EPIAIS RHUS;95810;EPIAIS RHUS;
95287;GRISY LES PLATRES;95810;GRISY LES PLATRES;
95387;MENOUVILLE;95810;MENOUVILLE;
95611;THEUVILLE;95810;THEUVILLE;
95627;VALLANGOUJARD;95810;VALLANGOUJARD;
95127;CERGY;95800;CERGY;
95183;COURDIMANCHE;95800;COURDIMANCHE;
95301;HAUTE ISLE;95780;HAUTE ISLE;
95523;LA ROCHE GUYON;95780;LA ROCHE GUYON;
95119;BUHY;95770;BUHY;
95429;MONTREUIL SUR EPTE;95770;MONTREUIL SUR EPTE;
95541;ST CLAIR SUR EPTE;95770;ST CLAIR SUR EPTE;
95628;VALMONDOIS;95760;VALMONDOIS;
95054;LE BELLAY EN VEXIN;95750;LE BELLAY EN VEXIN;
95142;CHARS;95750;CHARS;
95256;FREPILLON;95740;FREPILLON;
95094;BOUQUEVAL;95720;BOUQUEVAL;
95395;LE MESNIL AUBRY;95720;LE MESNIL AUBRY;
95492;LE PLESSIS GASSOT;95720;LE PLESSIS GASSOT;
95682;VILLIERS LE SEC;95720;VILLIERS LE SEC;
95011;AMBLEVILLE;95710;AMBLEVILLE;
95101;BRAY ET LU;95710;BRAY ET LU;
95150;CHAUSSY;95710;CHAUSSY;
95527;ROISSY EN FRANCE;95700;ROISSY EN FRANCE;
95527;ROISSY EN FRANCE;95700;ROISSY EN FRANCE;ROISSY AEROPORT CHARLES DE GAULLE
95258;FROUVILLE;95690;FROUVILLE;
95304;HEDOUVILLE;95690;HEDOUVILLE;
95328;LABBEVILLE;95690;LABBEVILLE;
95446;NESLES LA VALLEE;95690;NESLES LA VALLEE;
95426;MONTLIGNON;95680;MONTLIGNON;
95371;MARLY LA VILLE;95670;MARLY LA VILLE;
95134;CHAMPAGNE SUR OISE;95660;CHAMPAGNE SUR OISE;
95078;BOISSY L AILLERIE;95650;BOISSY L AILLERIE;
95181;COURCELLES SUR VIOSNE;95650;COURCELLES SUR VIOSNE;
95271;GENICOURT;95650;GENICOURT;
95422;MONTGEROULT;95650;MONTGEROULT;
95510;PUISEUX PONTOISE;95650;PUISEUX PONTOISE;
